Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,1,8,0.694344933,Damian Lillard,,POR,G,7,34.23571429,29.57142857,2.857142857,4.857142857,6,0.571428571,0.285714286,0.503816794,18.71428571,0.93220339,8.428571429,2.285714286,2.400991383,1.285867193,-0.383597411,1.357742443,-0.752551778,-0.713604834,0.548032734,2.964089791,-0.457865122
,2,23,0.304427456,Danilo Gallinari,,LAC,F,7,28.79047619,20,2.142857143,6.142857143,1.428571429,0.714285714,0.571428571,0.463917526,13.85714286,0.972222222,5.142857143,1,0.780463193,0.622893274,0.051584913,-0.774642367,-0.479506535,-0.280883567,-0.31556132,2.297992871,0.837506643
,13,145,-0.274562127,Lou Williams,,LAC,G,7,24.13333333,16.71428571,1.428571429,2.285714286,3,0.571428571,0.142857143,0.430232558,12.28571429,0.942857143,5,2.571428571,0.224162472,-0.040080645,-1.253962061,-0.041635089,-0.752551778,-0.929965468,-0.821487228,1.890186165,-0.745725514
,1,4,0.814206346,Kawhi Leonard,,TOR,F,6,34.66111111,27.33333333,2,7.833333333,3.166666667,2,0.5,0.504201681,19.83333333,0.914285714,5.833333333,1.666666667,2.022061906,0.49029849,0.623769081,0.036108107,1.977900645,-0.389063883,0.589533563,1.811416809,0.165832394
,1,6,0.780566739,Kevin Durant,,GSW,F,9,35.28148148,27.77777778,1.555555556,7.222222222,6.333333333,1,0.666666667,0.558823529,18.88888889,0.92,5.555555556,2.555555556,2.097310313,0.077781385,0.416923161,1.513228835,0.066583949,-0.136643144,1.919213157,1.800436264,-0.72973327
,3,32,0.18629499,Tim Hardaway Jr.,,NYK,F,8,33.33958333,26,3.75,3,3.25,0.875,0,0.43125,20,0.909090909,5.5,2.125,1.796316685,2.114584591,-1.012194103,0.074979706,-0.172330638,-1.146326102,-1.324276344,1.641844767,-0.295943652
,1,1,1.175196902,Stephen Curry,,GSW,G,9,33.95555556,33,6.111111111,5,5.888888889,1.333333333,0.222222222,0.549450549,20.22222222,0.913043478,5.111111111,2.777777778,2.981479093,4.306081713,-0.33524382,1.305913645,0.703689515,-0.809765116,1.803901566,1.574340208,-0.953624687
,2,16,0.471283253,Karl-Anthony Towns,,MIN,C,8,32.25,18.875,2.25,10.5,2.375,0.75,2.375,0.4375,14,0.921052632,4.75,2.875,0.589990664,0.722339361,1.526369458,-0.333172074,-0.411245225,2.450669436,-0.805374184,1.553549025,-1.051577181
,11,121,-0.211906519,Jeff Teague,Questionable - knee,MIN,G,7,30.27619048,12.71428571,1,2.428571429,6.857142857,0.857142857,0.142857143,0.358974359,11.14285714,0.928571429,4,1.857142857,-0.45307319,-0.437864997,-1.205608469,1.757564594,-0.206461293,-0.929965468,-1.787145357,1.38147004,-0.026074534
,10,113,-0.183707331,Taurean Prince,,ATL,F,7,28.82619048,16.71428571,2.428571429,5,2.857142857,1.285714286,0.285714286,0.397959184,14,0.956521739,3.285714286,3.857142857,0.224162472,0.888082841,-0.33524382,-0.108272114,0.612674434,-0.713604834,-1.533302031,1.353234352,-2.04109728
