1,Alex Abrines\abrinal01,SG,25,OKC,8,0,174,22,54,.407,14,40,.350,8,14,.571,.537,4,5,.800,1,9,10,6,7,3,3,18,62
2,Jaylen Adams\adamsja01,PG,22,ATL,4,0,13,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,2,2,1,0,1,0,0,3
3,Steven Adams\adamsst01,C,25,OKC,7,7,230,37,67,.552,0,0,,37,67,.552,.552,20,36,.556,33,41,74,9,11,9,10,18,94
4,Bam Adebayo\adebaba01,C,21,MIA,7,0,124,18,37,.486,0,2,.000,18,35,.514,.486,16,23,.696,15,32,47,7,3,2,10,16,52
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,2,0,5,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,1,0,1,0,0,0,0,1,1
6,LaMarcus Aldridge\aldrila01,C,33,SAS,7,7,247,54,122,.443,0,4,.000,54,118,.458,.443,36,48,.750,30,34,64,22,4,9,12,14,144
7,Grayson Allen\allengr01,SG,23,UTA,6,1,68,9,20,.450,4,12,.333,5,8,.625,.550,9,10,.900,0,2,2,3,0,0,2,7,31
8,Jarrett Allen\allenja01,C,20,BRK,9,9,238,41,68,.603,2,8,.250,39,60,.650,.618,15,28,.536,18,49,67,15,4,17,14,17,99
9,Al-Farouq Aminu\aminual01,PF,28,POR,8,8,232,23,59,.390,8,29,.276,15,30,.500,.458,16,18,.889,9,61,70,3,6,2,6,18,70
10,Kyle Anderson\anderky01,SF,25,MEM,7,4,169,10,30,.333,0,2,.000,10,28,.357,.333,6,12,.500,9,32,41,15,9,2,10,14,26
11,Ryan Anderson\anderry01,PF,30,PHO,8,6,172,16,46,.348,6,24,.250,10,22,.455,.413,11,14,.786,11,17,28,13,2,0,7,10,49
12,Ike Anigbogu\anigbik01,C,20,IND,1,0,3,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,1,1,0,0
13,Giannis Antetokounmpo\antetgi01,PF,24,MIL,7,7,220,73,140,.521,1,17,.059,72,123,.585,.525,36,51,.706,20,76,96,36,7,10,34,25,183
14,Carmelo Anthony\anthoca01,PF,34,HOU,7,2,218,37,87,.425,18,44,.409,19,43,.442,.529,15,21,.714,6,31,37,4,4,7,7,25,107
15,OG Anunoby\anunoog01,SF,21,TOR,6,1,142,16,36,.444,6,20,.300,10,16,.625,.528,0,0,,4,14,18,3,3,2,4,16,38
16,Ryan Arcidiacono\arcidry01,PG,24,CHI,8,0,201,17,35,.486,12,25,.480,5,10,.500,.657,5,5,1.000,1,13,14,44,6,1,6,17,51
17,Trevor Ariza\arizatr01,SF,33,PHO,8,8,262,26,77,.338,15,46,.326,11,31,.355,.435,14,15,.933,6,34,40,29,6,1,13,11,81
18,D.J. Augustin\augusdj01,PG,31,ORL,8,8,210,24,65,.369,12,30,.400,12,35,.343,.462,13,14,.929,6,13,19,36,3,0,8,9,73
19,Deandre Ayton\aytonde01,C,20,PHO,8,8,253,60,96,.625,0,0,,60,96,.625,.625,15,20,.750,22,66,88,25,4,6,11,23,135
20,Dwayne Bacon\bacondw01,SG,23,CHO,3,0,21,4,8,.500,2,4,.500,2,4,.500,.625,4,4,1.000,0,2,2,2,1,0,0,2,14
21,Marvin Bagley\baglema01,PF,19,SAC,9,0,210,46,83,.554,5,9,.556,41,74,.554,.584,20,33,.606,27,35,62,10,7,10,21,21,117
22,Ron Baker\bakerro01,SG,25,NYK,6,0,79,1,10,.100,0,7,.000,1,3,.333,.100,3,4,.750,0,4,4,7,3,0,2,13,5
23,Wade Baldwin\baldwwa01,PG,22,POR,2,0,5,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,0,0,0,2,0,0
24,Lonzo Ball\balllo01,PG,21,LAL,8,6,224,30,65,.462,16,39,.410,14,26,.538,.585,5,9,.556,6,30,36,36,9,0,11,15,81
25,Mohamed Bamba\bambamo01,C,20,ORL,8,0,164,20,39,.513,5,16,.313,15,23,.652,.577,2,7,.286,10,33,43,11,2,14,5,9,47
26,J.J. Barea\bareajo01,PG,34,DAL,9,0,165,26,83,.313,6,26,.231,20,57,.351,.349,8,14,.571,5,15,20,57,6,0,12,14,66
27,Harrison Barnes\barneha02,SF,26,DAL,5,5,160,26,74,.351,8,27,.296,18,47,.383,.405,12,18,.667,2,18,20,7,4,2,7,12,72
28,Will Barton\bartowi01,SG,28,DEN,2,2,54,12,21,.571,5,9,.556,7,12,.583,.690,4,4,1.000,0,10,10,6,1,2,3,5,33
29,Keita Bates-Diop\bateske01,SF,23,MIN,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
30,Nicolas Batum\batumni01,SF,30,CHO,9,9,307,36,79,.456,17,42,.405,19,37,.514,.563,7,9,.778,9,48,57,33,11,7,20,15,96
31,Aron Baynes\baynear01,C,32,BOS,5,1,73,12,30,.400,5,15,.333,7,15,.467,.483,8,11,.727,10,13,23,6,0,1,2,10,37
32,Kent Bazemore\bazemke01,SG,29,ATL,8,8,235,45,95,.474,14,43,.326,31,52,.596,.547,15,23,.652,8,29,37,19,12,8,17,27,119
33,Bradley Beal\bealbr01,SG,25,WAS,8,8,264,68,144,.472,26,67,.388,42,77,.545,.563,23,31,.742,2,30,32,30,8,6,19,26,185
34,Malik Beasley\beaslma01,SG,22,DEN,8,0,147,21,48,.438,5,20,.250,16,28,.571,.490,0,0,,2,17,19,7,3,1,6,10,47
35,Michael Beasley\beaslmi01,PF,30,LAL,3,0,10,1,3,.333,0,0,,1,3,.333,.333,1,2,.500,1,2,3,0,0,0,2,3,3
36,Marco Belinelli\belinma01,SG,32,SAS,7,0,151,26,68,.382,10,33,.303,16,35,.457,.456,16,18,.889,1,14,15,10,5,1,7,11,78
37,Jordan Bell\belljo01,C,24,GSW,9,0,95,6,11,.545,0,0,,6,11,.545,.545,5,7,.714,5,15,20,4,4,10,4,11,17
38,DeAndre' Bembry\bembrde01,SG,24,ATL,8,0,200,27,64,.422,9,19,.474,18,45,.400,.492,8,18,.444,5,38,43,21,11,5,17,18,71
39,Dragan Bender\bendedr01,PF,21,PHO,4,0,14,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,2,3,5,0,0,0,2,1,4
40,Davis Bertans\bertada01,PF,26,SAS,7,1,110,12,24,.500,10,19,.526,2,5,.400,.708,4,4,1.000,4,11,15,9,2,2,3,6,38
41,Patrick Beverley\beverpa01,PG,30,LAC,9,9,216,17,59,.288,8,32,.250,9,27,.333,.356,9,13,.692,8,33,41,39,7,2,13,35,51
